Ticker,Name,SPY,QQQ,XLK,XLF,XLC,XLY,XLP,XLE,XLV,XLI,XLB,XLRE,XLU,IGV,ITA,SOXX,SMH,ARKK
KMB,KIMBERLY CLARK CORP,0.056,-,-,-,-,-,2.1522,-,-,-,-,-,-,-,-,-,-,-
TXG,10X GENOMICS INC-CLASS A,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2.2
BMY,BRISTOL MYERS SQUIBB CO,0.1898,-,-,-,-,-,-,-,2.0079,-,-,-,-,-,-,-,-,-
FANG,DIAMONDBACK ENERGY INC,0.0497,0.24,-,-,-,-,-,1.9023,-,-,-,-,-,-,-,-,-,-
SBAC,SBA COMMUNICATIONS CORP,0.0334,-,-,-,-,-,-,-,-,-,-,2.1365,-,-,-,-,-,-
ADM,ARCHER DANIELS MIDLAND CO,0.0548,-,-,-,-,-,2.113,-,-,-,-,-,-,-,-,-,-,-
DTE,DTE ENERGY COMPANY,0.0478,-,-,-,-,-,-,-,-,-,-,-,2.118,-,-,-,-,-
DG,DOLLAR GENERAL CORP,0.0547,-,-,-,-,-,2.0944,-,-,-,-,-,-,-,-,-,-,-
AEE,AMEREN CORPORATION,0.0474,-,-,-,-,-,-,-,-,-,-,-,2.0982,-,-,-,-,-
MAR,Marriott International Inc/MD,0.1173,0.44,-,-,-,1.5622,-,-,-,-,-,-,-,-,-,-,-,-
OXY,OCCIDENTAL PETROLEUM CORP,0.054,-,-,-,-,-,-,2.0567,-,-,-,-,-,-,-,-,-,-
PPL,PPL CORP,0.0458,-,-,-,-,-,-,-,-,-,-,-,2.0268,-,-,-,-,-
